Date,SPX,RUI,FED5YEAR,VIX,DXY,COST,WMT,M,SPSIRE,TGT
1/2/00,1469.25,3055.86,2.7701,24.64,101.87,45.625,69.125,25.2813,1041.97,36.7188
1/3/00,1455.22,3029.45,2.7473,24.21,100.22,44.5,66.8125,25.1875,1016.4,36.0313
1/4/00,1399.42,2909.98,2.8377,27.01,100.41,42.063,64.3125,24.4688,989.24,34.4688
1/5/00,1402.11,2917.77,2.8245,26.41,100.38,42.781,63,24.9375,989.65,33.6875
1/6/00,1403.45,2898.75,2.7696,25.73,100.48,43.641,63.6875,24.7188,990.1,32.0938
1/9/00,1441.47,2998.01,2.676,21.72,100.72,46.531,68.5,25.4063,1010.94,33.75
1/10/00,1457.6,3041.51,2.5936,21.71,100.99,47.5,67.25,26.1875,1019.65,33.0938
1/11/00,1438.56,2996.16,2.7436,22.5,100.56,45.813,66.25,25.3438,1005.29,34.0938
1/12/00,1432.25,2985.8,2.8011,22.84,100.62,45.75,65.0625,25.2813,992.22,33.7188
1/13/00,1449.68,3031.35,2.7769,21.71,101,47.469,65.125,25.625,996.9,34.5
1/16/00,1465.15,3065.14,2.6394,19.66,101.72,49.063,64.5,23.9375,985.29,34.625
1/17/00,1465.15,3065.14,2.6394,19.66,101.77,49.063,64.5,23.9375,985.29,34.625
1/18/00,1455.14,3046.45,2.6976,21.5,101.86,51.25,65.5625,23.9688,974.77,34
1/19/00,1455.9,3056.52,2.6901,21.72,101.76,51.875,64.0625,23.9063,977.88,34.9688
1/20/00,1445.57,3037.92,2.7525,21.75,101.36,50,63.375,22.9688,962.32,33.8438
1/23/00,1441.36,3031.47,2.7633,20.82,101.81,48.5,62.4375,21.9375,944.56,32.4063
1/24/00,1401.53,2951.05,2.6832,24.07,102.2,47,59.375,20.625,926.11,31.75
1/25/00,1410.03,2965.96,2.7191,23.02,102.41,49.688,61.125,21.5313,927.05,32.5625
1/26/00,1404.09,2953.42,2.6381,23.03,102.44,50.438,61.9375,22.5,935.18,34.0625
1/27/00,1398.56,2943.86,2.5382,23.54,103.17,48.938,59.125,21.3438,932.35,33.6563
1/30/00,1360.16,2867.29,2.407,26.14,104.48,46,55.125,20.8125,909.54,31.6875
1/31/00,1394.46,2930.75,2.5011,24.95,105.13,48.938,54.75,20.8125,909.05,32.9375
2/1/00,1409.28,2966.31,2.3887,23.45,104.92,51.875,58.6875,21.0625,918.97,33.7188
2/2/00,1409.12,2965.77,2.4158,23.12,104.79,53.938,58.375,21.4063,927.28,34
2/3/00,1424.97,3000.93,2.445,22.01,103.8,54.188,58.375,20.6563,936.51,33.0313
2/6/00,1424.37,2997.54,2.3003,21.54,104.29,53,56.3125,19.9688,939.4,32.3125
2/7/00,1424.24,3001.5,2.3258,22.79,104.64,51.25,55.75,18.6563,926.39,32.8438
2/8/00,1441.72,3036.78,2.2011,21.25,104.22,53.063,59.5,19.4375,940.51,34.3438
2/9/00,1411.7,2976.52,2.4006,22.9,103.5,52.875,57.8125,18.9688,918.54,33.5938
2/10/00,1416.83,2987.31,2.4833,23.07,104.13,52.125,57,18.8438,920.66,33.2188
2/13/00,1387.12,2930.81,2.4884,24.42,104.1,51.688,56.0625,18.4688,908.27,33.0313
2/14/00,1389.94,2934.92,2.3791,24.38,104.72,50.75,58.875,18.4063,912.13,32.625
2/15/00,1402.05,2959.32,2.4491,22.92,104.69,49.375,58,18.9688,906.84,31.9688
2/16/00,1387.67,2935.1,2.4526,23.51,104.28,47.75,52.75,17.8438,877.47,30.9063
2/17/00,1388.26,2936.66,2.3744,23.17,104.27,44,48.375,17.1563,859.7,29.9375
2/20/00,1346.09,2855.26,2.3016,26,104.63,44.938,47.75,16.9063,847.76,29.5
2/21/00,1346.09,2855.26,2.3016,26,104.51,44.938,47.75,16.9063,847.76,29.5
2/22/00,1352.17,2866.18,2.2425,25.86,103.28,44,48.125,17.5,853.34,28.875
2/23/00,1360.69,2897.27,2.1902,23.89,103.53,44.563,47,17.0938,848.13,28.4063
2/24/00,1353.43,2889.56,2.2391,24.38,104.01,44.375,47.875,16.2188,827.95,27.9375
2/27/00,1333.36,2850.18,2.3075,25.2,105.26,47.625,44.5,16.2813,831.89,27.9375
2/28/00,1348.05,2876.1,2.2876,24.68,105.27,48.938,46.1875,17.625,851.51,29.4375
2/29/00,1366.42,2922.91,2.2467,23.37,105.92,49.625,48.75,18.3438,876.45,29.5
3/1/00,1379.19,2952.11,2.338,21.64,104.89,46.5,49,18.1563,875.59,29.625
3/2/00,1381.76,2953.26,2.2791,21.06,105.78,49.625,50.5625,18.2188,872.25,30.125
3/5/00,1409.17,3018.52,2.245,19.21,106,49.938,52.625,18.0625,880.54,30.875
3/6/00,1391.28,2985.9,2.2515,21.5,106.16,50.125,50.5,17.2188,855.13,30.375
3/7/00,1355.62,2910.51,2.3464,24.31,106.01,45.375,47.5625,16.5,829.91,29
3/8/00,1366.7,2930.9,2.3805,23.82,105.96,45.625,48.3125,17.0313,852.73,29.0938
3/9/00,1401.69,3003.43,2.3579,22.21,105.37,44.563,48.9375,17.0938,878.05,30.0313
3/12/00,1395.07,2992.44,2.3798,21.24,105.71,44.125,47.9375,17.6563,860.19,30.4063
3/13/00,1383.62,2959.27,2.4912,22.85,105.5,43,47.6875,17.4063,856.47,30.7188
3/14/00,1359.15,2902.41,2.3561,24.41,105.2,43.313,47.75,17.75,862.55,30.4688
3/15/00,1392.15,2956.63,2.3353,22.34,105.38,49.813,51.5,19.6563,904.92,32
3/16/00,1458.47,3102.95,2.2555,20.77,105.18,55.953,54.625,20.5313,979.99,35.5625
3/19/00,1464.47,3119.16,2.1681,22.37,105.2,53.938,55.75,20.0313,971.42,34.75
3/20/00,1456.63,3090.35,2.1182,22.96,105.15,52.313,55.125,20.3125,964.26,33.1875
3/21/00,1493.87,3166.15,2.1161,21.7,105.81,52.188,56.625,21.0313,981.38,33.4688
3/22/00,1500.64,3190.58,2.131,21.49,106.04,52.875,55.375,20.25,974.75,33.3438
3/23/00,1527.35,3246.16,2.1613,22.26,105.23,53.625,54,19.9063,980.18,34
3/26/00,1527.46,3247,2.1739,23.31,104.77,53.875,55.5,20,986.95,34.5625
3/27/00,1523.86,3238.56,2.1627,24.53,105.3,53.438,55.4375,19.9082,979.59,34.2188
3/28/00,1507.73,3201.9,2.2345,24.86,105.53,51.125,54.5,19.9688,972.56,34.4375
3/29/00,1508.52,3192.17,2.2234,24.1,106.22,50.5,58.75,21.0938,986.32,36.3125
3/30/00,1487.92,3151.35,2.2593,25.47,105.47,50.25,59,21.75,1021.22,38.5938
4/2/00,1498.58,3189.25,2.1572,24.11,105.44,52.563,56.5,21.125,1038.47,37.375
4/3/00,1505.97,3183.08,2.1554,24.03,105.54,52.5,61.1875,21.375,1049.39,38.5
4/4/00,1494.73,3156.81,2.1578,27.12,105.17,54.063,60,19.9688,1026.4,37.6563
4/5/00,1487.37,3146.38,2.1367,28.41,105.29,53.5,58.25,20.0313,1033.54,37.0938
4/6/00,1501.34,3179.39,2.0068,27.15,105.52,51.875,61.125,19.5625,1039.31,37
4/9/00,1516.35,3215.36,2.0106,24.39,105.97,52.813,61.5,19.8125,1052.73,37.125
4/10/00,1504.46,3178.09,1.9895,25.99,105.68,54.25,63.5625,20.4688,1040.22,37.5938
4/11/00,1500.59,3164.27,2.1364,27.25,105.94,57.438,63.375,20.7188,1050.77,36.4375
4/12/00,1467.17,3095.76,2.1993,28.98,105.96,55.063,62.4375,20.5625,1046.77,36.1563
4/13/00,1440.51,3042.07,2.1119,29.4,106.14,54.625,60.0625,19.8125,1018.79,35.3125
4/16/00,1356.56,2861.54,2.1482,33.49,105.47,50.875,55,18.8438,948.37,34.1563
4/17/00,1401.44,2954.03,2.3863,28.95,106.13,49.125,54,18.2188,951.01,32.6563
4/18/00,1441.61,3039.27,2.3458,26.12,106.63,50.938,53.875,18.1563,979.19,34.6875
4/19/00,1427.47,3012.83,2.2209,27.02,107.13,52.25,54.9375,18.5625,979.33,34.25
4/20/00,1434.54,3022.9,2.1909,25.85,107.45,54.813,57.6875,18.5,983.53,34.625
4/23/00,1434.54,3022.9,2.1909,25.85,107.45,54.813,57.6875,18.5,983.53,34.625
4/24/00,1429.86,3013.6,2.2712,27.37,107.28,56,58.875,18.75,987.81,35.125
4/25/00,1477.44,3116.54,2.2459,25.24,108.67,57,59.6875,19.1563,1010.78,35.75
4/26/00,1460.99,3081.63,2.3013,26.97,108.55,54.938,58.75,18.3438,1005.9,35.4063
4/27/00,1464.92,3096.08,2.341,26.19,109.57,56.063,57.6875,17.6875,985.33,34
4/30/00,1452.43,3082.93,2.2829,26.2,110.14,54.063,55.375,17,979.62,33.2813
5/1/00,1468.25,3113.18,2.3549,25.88,109.63,58.438,57.9375,17.1875,1005.15,34.125
5/2/00,1446.29,3057.75,2.3611,28.5,110.26,54.75,57.625,17.6563,988.52,34.4375
5/3/00,1415.1,2997.44,2.5215,31.63,111.26,52.188,53.4375,17.0488,947.83,31.875
5/4/00,1409.57,2991.29,2.5814,30.77,111.8,48.938,51,17.3438,953.42,33.0625
5/7/00,1432.63,3035.71,2.5679,27.53,111.31,48.813,51.3125,18.0625,971.16,34.0391
5/8/00,1424.17,3016.8,2.6686,28.2,111.45,47.438,52.375,18.2188,973.43,34.125
5/9/00,1412.14,2988.44,2.6375,28.93,110.75,49.188,53,18.1875,978.38,34.7188
5/10/00,1383.05,2918.42,2.4686,29.87,110.8,48.938,56.6875,18.3125,970.78,35.1875
5/11/00,1407.81,2978.32,2.4041,27.76,111.52,49.813,56,18.5938,998.52,34.9375
5/14/00,1420.96,3001.42,2.467,26.05,109.9,47.813,56.8125,18.9375,998.5,35.1367
5/15/00,1452.36,3066.6,2.452,24.86,110.56,48.938,57,19.8125,1018.48,35.5
5/16/00,1466.04,3100.09,2.3254,24.34,111.31,51.313,58,19.9063,1020.16,35.7188
5/17/00,1447.8,3060.41,2.3794,23.98,112.1,47.734,56.375,19.2813,1000,34.8125
5/18/00,1437.21,3034.87,2.453,23.96,112.09,46.75,57.9375,19.9688,993.71,35.4512
5/21/00,1406.95,2967.59,2.4396,25.44,111.47,45,57.0625,19.4063,979.89,35.0938
5/22/00,1400.72,2955.39,2.4177,26,111.18,43.125,57.375,19.2188,972.97,35.0625
5/23/00,1373.86,2897.46,2.4238,25.87,111.44,40.625,57.1875,19.4375,967.09,33.5
5/24/00,1399.05,2948.64,2.4546,24.32,111.22,31.875,56.875,18.9688,946.79,32.25
5/25/00,1381.52,2910.8,2.3139,24.58,110.74,30,55,18.0625,951.64,32.4688
5/28/00,1378.02,2907.57,2.2602,24.47,109.12,30.875,54,18.2188,927.88,32.2188
5/29/00,1378.02,2907.57,2.2602,24.47,109.12,30.875,54,18.2188,927.88,32.2188
5/30/00,1422.45,3008.03,2.3073,23.62,108.93,32.5,53.375,18.4688,941.96,30.9063
5/31/00,1420.6,3003.2,2.234,23.65,108.74,31.938,57.625,19.25,951.55,31.3438
6/1/00,1448.81,3068.67,2.1835,22.36,109.05,32.375,57,19.25,956.87,31.5
6/4/00,1477.26,3138.82,2.2724,21.48,108.12,34.25,59.0625,19.7188,980.76,33
6/5/00,1467.63,3116.6,2.2008,22.71,107.46,33.25,59.3125,19.5313,964.02,32.1563
6/6/00,1457.84,3092.36,2.1888,23.05,106.59,31.75,58.25,18.625,928.63,28.7813
6/7/00,1471.36,3122.63,2.132,22.48,106.18,32.75,57.875,18.2813,939.17,29.8438
6/8/00,1461.67,3102.09,2.1079,22.77,106.73,32.063,56.875,18.0938,927.9,29.875
6/11/00,1456.95,3096.13,2.1044,22.14,106.99,32.313,54,17.7188,926.1,28.125
6/12/00,1446,3068.32,2.1014,22.32,106.97,31.438,52.75,17.7813,913.83,27.25
6/13/00,1469.44,3117.71,2.0499,21.67,106.4,32.125,55,17.9375,921.24,28.3125
6/14/00,1470.54,3116.43,2.1363,21.48,106.46,32.563,55.125,17.6563,928.54,29
6/15/00,1478.73,3133.74,2.1697,20.68,106.88,33.188,55.5,17.875,939.81,30.0313
6/18/00,1464.46,3105.63,2.131,20.5,105.96,32.5,53.875,17.4375,933.07,29.25
6/19/00,1486,3153.84,2.1432,20.63,106.33,32,54.375,18,930.47,28.5938
6/20/00,1475.95,3139.88,2.1406,20.88,106.64,31.625,54.5,17.75,930.65,27.5
6/21/00,1479.13,3142.94,2.1946,20.61,107.43,32.375,53.9375,17.375,923.22,26.2188
6/22/00,1452.18,3089.89,2.2111,22,107.94,32,52.5,17.1563,914.93,26.8125
6/25/00,1441.48,3062.63,2.2528,22.34,108.1,32,53.75,18,915.9,27.0313
6/26/00,1455.31,3086.02,2.2104,22.45,108.2,31.875,53.75,17.375,916.22,27.7188
6/27/00,1450.55,3071.85,2.1818,21.8,107.36,33,56.8125,18.0313,941.09,27.9063
6/28/00,1454.82,3088.27,2.2095,20.29,107.67,32.313,55.9844,17.2012,949.11,27.3359
6/29/00,1442.39,3062.48,2.1309,19.7,106.91,32.063,54.125,17.3438,948.88,27.75
7/2/00,1454.6,3079.76,2.2224,19.54,106.84,33,57.625,16.875,947.08,29
7/3/00,1469.54,3111.15,2.2042,19.83,107.09,34.188,56.875,16.9688,950.14,28.9063
7/4/00,1469.54,3111.15,2.2042,19.83,107.29,34.188,56.875,16.9688,950.14,28.9063
7/5/00,1446.23,3060.77,2.1934,21.16,107.12,33.25,57,17.4063,946.07,28.8438
7/6/00,1456.67,3085.94,2.2269,20.94,107.4,32.875,57.5,14.8125,961.29,28.2188
7/9/00,1478.9,3132.6,2.2266,19.22,107.65,34.563,61.5625,14.4688,994.72,29.4375
7/10/00,1475.62,3127.4,2.5227,20.33,106.91,37.063,61.25,14.9688,1020.62,30.5938
7/11/00,1480.88,3135.14,2.1982,20.11,107.09,35.563,62,14.9063,1028.15,31.5
7/12/00,1492.92,3164.93,2.1893,20.03,108.04,36.563,61,14.5313,1029.93,31.4063
7/13/00,1495.84,3180.01,2.1198,20.03,108.54,36.5,59.125,14.3125,1009.11,31.0625
7/16/00,1509.98,3209.34,2.1813,19.32,108.45,36,59.5,14.2188,1015.06,31.0625
7/17/00,1510.49,3214.8,2.2548,19.45,108.62,35.5,60.7188,14.0938,1011.39,30.4531
7/18/00,1493.74,3171.81,2.2662,19.75,109.38,33.875,60.0625,13.6563,997.76,29.6563
7/19/00,1481.96,3144.28,2.266,19.65,109.54,32.938,60,13.4375,981.18,29.5313
7/20/00,1495.57,3181.2,2.1252,18.94,108.62,32.938,60,11.75,988.51,30.5
7/23/00,1480.19,3146.43,2.0994,18.94,108.44,32.25,59.6875,12.1563,983.34,29.9375
7/24/00,1464.29,3112.3,2.1122,19.92,108.63,31.688,57.4375,12.0938,963.16,29.3125
7/25/00,1474.47,3122.73,2.1144,19.39,108.31,31.688,59.1875,11.875,964.07,30.125
7/26/00,1452.42,3080.82,2.1251,19.67,107.97,31.313,58.75,12,963.52,31.25
7/27/00,1449.62,3065.43,2.0566,19.6,108.92,31.938,60.0625,12.1875,964.18,31.1875
7/30/00,1419.89,2998.6,2.0886,20.84,109.74,32.25,58.6875,12.25,939.63,30.4375
7/31/00,1430.83,3028.59,2.1122,20.74,109.61,32.563,55.25,12.0313,935.69,29
8/1/00,1438.1,3038.1,2.0769,20.55,110.6,32.5,54.5,12.4063,938.86,29
8/2/00,1438.7,3038.2,2.0892,20,110.48,33.563,54.0625,12.4063,949.64,30.5
8/3/00,1452.56,3074.92,2.0555,19.99,110.98,34.563,53.875,12.4063,960.88,30.0625
8/6/00,1462.93,3098.99,2.0397,18.62,110.85,35.5,52.9375,12.2813,968.52,29.6875
8/7/00,1479.32,3132.2,2.056,19.03,110.85,36.688,55.125,13,983.84,31.125
8/8/00,1482.8,3135.92,2.0186,18.79,111.32,37.563,57.625,12.6875,1005.1,31.875
8/9/00,1472.87,3118.71,2.0144,19.18,111.44,36.188,53.625,12.2188,986.65,31
8/10/00,1460.25,3091.43,1.9952,19.19,110.9,34.375,51,12.4688,965.74,29.75
8/13/00,1471.84,3120.39,2.0476,18.55,111.21,34.938,52.125,12.875,983.02,29.625
8/14/00,1491.56,3161.45,1.981,17.88,111.08,35.75,52.875,13.5,999.76,29.9375
8/15/00,1484.43,3148.59,1.9535,17.98,110.51,34.75,51.5625,12.8125,973.56,27
8/16/00,1479.85,3147.52,2.0059,18.02,110.27,33.063,49.9375,12.5313,966.98,26.375
8/17/00,1496.07,3179.81,1.9646,17.48,110.23,33,50,13.4063,968.28,26.0625
8/20/00,1491.72,3168.58,1.9043,17.05,111.01,33.438,50.875,13.5313,978.27,26.5
8/21/00,1499.48,3181.31,1.9452,17.35,111.46,32.75,49,13.1563,977.03,26.25
8/22/00,1498.13,3183.62,1.9585,17.47,111.79,32.938,49.125,13.3125,987.81,27.5
8/23/00,1505.97,3205.55,1.9223,17.38,111.42,32.25,49.125,13.4375,998.62,26.9375
8/24/00,1508.31,3215.4,1.9104,17.04,111.23,32.375,49.4375,13.6563,986.46,27.1875
8/27/00,1506.45,3214,1.9314,16.53,111.35,32.938,50.5,13.8125,989.86,27.1875
8/28/00,1514.09,3230.8,1.9741,16.54,111.5,33.063,49.5,14.125,983.91,26.6875
8/29/00,1509.84,3224.04,2.0326,16.89,112.2,34.75,49.4375,13.7188,989.63,26.4375
8/30/00,1502.59,3218.6,2.0154,17.69,112.14,35.625,48.4375,13.5625,988.09,26.0625
8/31/00,1517.68,3252.76,1.965,16.84,112.6,34.438,47.625,13.8223,974.92,23.1875
9/3/00,1520.77,3264.53,1.971,17.53,111.42,35.313,48.75,14.7813,1001.21,24.625
9/4/00,1520.77,3264.53,1.971,17.53,111.59,35.313,48.75,14.7813,1001.21,24.625
9/5/00,1507.08,3229.63,1.9636,19.82,112.32,36.188,49.75,14.7813,1002.44,25
9/6/00,1492.25,3192.99,2.0305,20.79,114.17,36.563,50,14.4688,1011.39,25.0625
9/7/00,1502.51,3221.63,2.0705,19.42,113.65,36.5,51,14.0625,1012.91,24.8125
9/10/00,1494.5,3197.57,2.0429,18.46,114.34,37.688,52.125,14,1030.03,24.875
9/11/00,1489.26,3188.73,2.0863,18.4,115.53,37.625,54.375,13.9688,1042.16,26.375
9/12/00,1481.99,3172.99,2.0871,18.59,115.17,37.641,54,14.2813,1049.54,26.8125
9/13/00,1484.91,3182.9,2.0809,18.32,115.34,38.375,53.875,14.3125,1053.69,26.5
9/14/00,1480.87,3182.23,2.2279,18.26,115.21,37.188,52.5,13.9063,1048.71,28
9/17/00,1465.81,3144.9,2.3142,18.52,116.1,35.313,52,14.0938,1046.43,27.0625
9/18/00,1444.51,3095.67,2.3186,20.25,116.03,34.063,52.75,13.8125,1022.78,26.25
9/19/00,1459.9,3135.22,2.2804,19.54,116.11,33.438,49.875,13.5625,1019.9,25.6875
9/20/00,1451.34,3118.44,2.3324,19.93,116.28,34.25,48.5,13.2813,1011.83,25.75
9/21/00,1449.05,3088.07,2.2511,20.18,115.27,35.375,50,13.875,1027.19,25.5
9/24/00,1448.72,3118.85,2.243,20.74,113.82,34.938,50.5,13.6563,1025.62,26.4375
9/25/00,1439.03,3099.25,2.2406,21.41,113.89,34.875,49,13.5625,1012,25.875
9/26/00,1427.21,3073.55,2.2014,21.88,113.13,33.813,47.375,13.0625,988.97,24.9493
9/27/00,1426.57,3076.52,2.2527,21.67,113.11,34.563,48.125,13.3125,987.7,24.8125
9/28/00,1458.29,3138.78,2.2132,19.47,113.31,35.875,48.5625,13.2188,1002.05,25.25
10/1/00,1436.51,3101.78,2.2423,20.57,113.25,34.938,48.125,13.0625,984.63,25.625
10/2/00,1436.23,3090.16,2.2989,21.23,113.79,32.938,46.25,12.9375,967.48,25
10/3/00,1426.46,3057.33,2.3255,21.85,114.22,33.828,45.8125,13.1563,962.23,25.125
10/4/00,1434.32,3077.23,2.318,21.54,114.17,34.484,46.125,13.3438,970.62,25.5
10/5/00,1436.28,3077.71,2.2811,21.03,114.74,33.625,46.0625,13.7813,973.04,25.9375
10/8/00,1408.99,3017.31,2.1879,22.71,114.85,33.5,45.5,13.7188,950.98,24.375
10/9/00,1402.03,3004.12,2.1879,24.02,114.81,34.188,45.125,13.9375,956.18,24.5
10/10/00,1387.02,2964.23,2.1476,24.86,114.36,33,46.375,13.5938,947.26,24.0625
10/11/00,1364.59,2914.82,2.1308,26.57,114.49,30.625,45.3125,13.1875,924.75,23.375
10/12/00,1329.78,2835.58,2.2059,30.51,114.97,31.25,44.125,12.9688,893.96,22.75
10/15/00,1374.17,2941.59,2.2047,27.6,115.86,32.125,45,14.625,921.65,24.0625
10/16/00,1374.62,2947.13,2.1915,26.79,116.34,32,47.3125,14.375,931.44,24.375
10/17/00,1349.97,2893.87,2.1607,27.84,115.89,32,46,13.9375,902.32,23.6875
10/18/00,1342.13,2873.09,2.1926,28.72,117.33,33,46.75,14.25,908.65,24
10/19/00,1388.76,2974.05,2.1479,25.09,116.94,34.938,47.8125,14.875,944.48,25.9375
10/22/00,1396.93,2996.68,2.0847,24.24,117.16,34.313,46.5625,14.5625,923.22,25.125
10/23/00,1395.78,2997.91,2.0321,24.69,117.54,33.563,47.3125,14.2813,922.65,24.75
10/24/00,1398.13,2996.11,2.0906,24.28,117.42,33.938,48.375,14.125,928.05,24.8125
10/25/00,1364.9,2926.81,2.1379,26.65,118.58,33,45.9375,14.1563,920.53,24.25
10/26/00,1364.44,2926.17,2.1134,28.62,118.4,33,43.4375,14.125,921.56,24.25
10/29/00,1379.58,2957.25,2.1244,26.47,117.39,33.688,43.25,14.25,928.09,24.4375
10/30/00,1398.66,2987.28,2.1336,25.46,117.25,34.563,43.75,15.3125,949.06,25.5
10/31/00,1429.4,3064.42,2.1817,23.63,116.65,36.625,45.375,16.2813,993.9,27.625
11/1/00,1421.22,3048.42,2.1798,24.28,115.56,35.75,46.6875,16.0938,986.8,27.5625
11/2/00,1428.32,3074.04,2.1828,23.92,115.61,36.188,48.4375,16.9688,1017.94,28.375
11/5/00,1426.69,3072.35,2.2705,23.67,114.97,35.313,47.375,16.4688,1004.86,27.5
11/6/00,1432.19,3081.43,2.2958,24.52,115.59,34.563,49,17,997.6,27.5625
11/7/00,1431.87,3078.68,2.2885,24.91,115.61,35.75,48.9375,17.2188,1004.41,28.375
11/8/00,1409.28,3021.44,2.2516,25.66,116.17,35.563,48.75,17.0938,1015.45,30.125
11/9/00,1400.14,2997.12,2.2295,27.2,115.34,34.063,47.125,16.2813,977,27.375
11/12/00,1365.98,2922.81,2.2254,28.53,115.79,33,43.6875,15.5313,946.57,25.9375
11/13/00,1351.26,2883.78,2.1899,29.06,115.7,34.438,45.3125,15.8125,966.45,26.1875
11/14/00,1382.95,2958.25,2.1708,26.81,116.22,36.875,46.875,16.5625,974.46,28.1875
11/15/00,1389.81,2975.59,2.1198,26.15,116.39,36.75,49,17.1563,981.3,28.875
11/16/00,1372.32,2932.68,2.0969,25.05,116.93,35.313,48.25,16.9688,976.01,28.9375
11/19/00,1367.72,2918.59,2.1433,24.81,117.31,36.063,48.5625,16.8125,988.95,29.375
11/20/00,1342.62,2855.28,2.1392,27.43,117.35,34.938,47.875,16.3125,974.95,28.6875
11/21/00,1347.35,2861.41,2.0963,26.62,117.95,36.063,47.125,15.4688,965.47,28.875
11/22/00,1322.36,2804.13,2.0365,27.71,117.85,34.5,45.875,15.25,960.92,29.125
11/23/00,1322.36,2804.13,2.0365,27.71,118.09,34.5,45.875,15.25,960.92,29.125
11/26/00,1341.77,2856.8,2.0168,26,118.48,35.438,45.1875,15.2813,972.59,28.4375
11/27/00,1348.97,2867.39,2.03,26.93,117.1,36.688,49.3125,15.5938,994.03,29
11/28/00,1336.09,2830.05,2.0446,27.64,116.63,35.25,49,15.3125,968.58,29
11/29/00,1341.91,2840.68,2.0115,27.49,116.61,36.438,51.875,15.875,961.59,30.125
11/30/00,1314.95,2784.18,1.9913,29.65,115.24,32.625,52.1875,15.25,934.02,30.0625
12/3/00,1315.23,2791.37,2.0207,27.48,114.73,32.625,51.1875,15.5938,936.83,31.4375
12/4/00,1324.97,2807.05,2.0658,27.78,113.71,34.125,53.8125,16.875,944.17,32.875
12/5/00,1376.54,2929.16,1.9892,24.99,114.47,35.313,55.25,17.4063,957.84,31.5
12/6/00,1351.46,2877.76,1.9045,25.07,113.31,33.625,54.8125,17.4063,929.14,32.75
12/7/00,1343.55,2864.05,1.9083,25.34,113.44,33.188,55,17,921.66,33.5625
12/10/00,1369.89,2935.72,1.9612,22.41,114.05,33.25,54.4375,17.125,934.37,33.6875
12/11/00,1380.2,2965.42,1.9717,23.51,114.29,32.938,51.375,17.1563,926.23,33.3125
12/12/00,1371.18,2939.31,1.9332,24.88,114.26,33.188,51.875,17.375,934.82,32.5625
12/13/00,1359.99,2912.12,1.8573,23.63,114.71,32.75,50.3125,17,919.78,32.25
12/14/00,1340.93,2863.99,1.8234,24.86,113.38,34.938,51.0625,16.125,909.35,31.25
12/17/00,1312.15,2805.58,1.8203,26.55,112.9,34.875,49.875,15.3438,900.02,31.25
12/18/00,1322.74,2825.97,1.8327,27.7,112.86,36.438,50.5625,15.5625,892.3,31.6875
12/19/00,1305.6,2785.47,1.8723,27.17,113.21,33.938,48,14.5,868.17,28.75
12/20/00,1264.74,2690.85,1.8875,31.74,111.89,34.438,48.9375,14.2188,854.63,28.1875
12/21/00,1274.86,2705.67,1.8541,29.66,111.51,35.625,51.75,14.75,868.39,30
12/24/00,1305.97,2782.45,1.8817,27.55,110.82,37.375,52.5,15.5625,899,30.6875
12/25/00,1305.97,2782.45,1.8817,27.55,110.82,37.375,52.5,15.5625,899,30.6875
12/26/00,1315.19,2800.41,1.9316,28.73,110.31,36.063,50.625,15.5,890.49,30.625
12/27/00,1328.92,2834.08,1.9424,28.14,110.21,37.188,52.5625,16.7813,942.13,32.25
12/28/00,1334.22,2850.39,1.9042,26.57,110.38,38.625,52.9375,17.0313,966.59,32
12/31/00,1320.28,2817.84,1.9263,26.85,109.56,39.938,53.125,17.5,964.01,32.25
1/1/01,1320.28,2817.84,1.9263,26.85,109.56,39.938,53.125,17.5,964.01,32.25
1/2/01,1283.27,2724.49,1.8912,29.99,108.61,41.188,53.875,17.1875,936.71,33.25
1/3/01,1347.56,2868.24,2.0604,26.6,110.17,42.688,58.4375,18.8438,1016.44,36.25
1/4/01,1333.34,2832.7,2.0054,26.97,108.81,43.625,56.1875,20,1021.81,36.9375
1/7/01,1298.35,2752.68,2.0058,28.67,108.42,41.313,53.9375,19,996.7,34.6875
1/8/01,1295.86,2745.68,2.0062,29.84,108.86,41.938,53.9375,19.25,989.17,34.375
1/9/01,1300.8,2758.07,1.9753,27.99,109.52,41.813,52.75,18.8438,988.3,34.5
1/10/01,1313.27,2793.93,2.0638,26.8,109.86,40.688,51.6875,19.375,999.89,34.4375
1/11/01,1326.82,2827.67,2.1272,25.79,109.01,41.313,51.9375,19.4688,1014.11,33.4375
1/14/01,1318.32,2812.24,2.1795,24.56,109.27,43.063,52.9375,19.8125,1021.91,34.8125
1/15/01,1318.32,2812.24,2.1795,24.56,110.09,43.063,52.9375,19.8125,1021.91,34.8125
1/16/01,1326.65,2829.37,2.1898,25.28,110.11,43.563,54.6875,19.875,1041.37,35.875
1/17/01,1329.47,2838.09,2.1231,24.93,110.67,41.438,53.9375,19.8438,1041.01,35.8125
1/18/01,1347.97,2874.18,2.121,23.37,109.94,41.438,53.0625,19,1031.97,34.5625
1/21/01,1342.54,2858.79,2.1756,23.24,110.67,40.438,50.8125,19,1001.91,32.75
1/22/01,1342.9,2859.65,2.237,23.25,110.14,42.25,52.5625,20.25,1032.51,34.5625
1/23/01,1360.4,2901.11,2.2762,21.57,110.34,42.5,53.375,20.375,1052.02,36
1/24/01,1364.3,2910.22,2.2479,22.03,111.81,42.938,53.5,20.8438,1062.95,36.3125
